Historical adjusted precipitation stations for Canada - Updated to December 2017,,,,,,,,,,
Stations historiques de précipitations ajustées  pour le Canada - Mise à jour jusqu'à décembre 2017,,,,,,,,,,
Prov,station's name,stnid,beg yr,beg mon,end yr,end mon,lat (deg),long (deg),elev (m),stns joined
Prov,nom de la station,stnid,année déb.,mois déb.,année fin.,mois fin.,lat (deg),long (deg),élév (m),stns jointes
BC,AGASSIZ,1100120,1890,1,2017,12,49.2430555555556,-121.760277777778,15,No
BC,ALERT BAY,1020270,1924,1,1994,2,50.5833333333333,-126.933333333333,59,No
BC,ARMSTRONG HULLCAR,1160483,1912,1,1998,12,50.5,-119.216666666667,505,Yes
BC,ATLIN,1200560,1906,1,2017,12,59.5666666666667,-133.7,674,No
BC,BARKERVILLE,1090660,1888,1,2015,3,53.0691666666667,-121.514722222222,1283,No
BC,BEAVERDELL NORTH,1130771,1926,1,2006,9,49.4783333333333,-119.047,838,Yes
BC,BELLA COOLA ,1060841,1899,1,2017,11,52.3875,-126.595833333333,36,Yes
BC,BIG CREEK,1080870,1904,1,1998,11,51.6672236111111,-123.073056944444,1175,No
BC,BLUE RIVER ,1160899,1929,1,2017,12,52.1290277777778,-119.289527777778,683,Yes
BC,BRISCO,1171020,1924,1,2004,3,50.8205555555556,-116.258055555556,823,No
BC,BRITANNIA BEACH FURRY CREEK,1041050,1914,1,2000,4,49.5838888888889,-123.223611111111,9,Yes
BC,BURQUITLAM VANCOUVER GOLF COURSE,1101200,1926,1,2005,12,49.2516666666667,-122.876944444444,122,Yes
BC,CAPE SCOTT,1031353,1921,1,2016,6,50.7822333333333,-128.427227777778,72,Yes
BC,CAPE ST JAMES,1051350,1926,1,1992,8,51.9333333333333,-131.016666666667,89,No
BC,CASSIAR,1191440,1954,1,1996,8,59.2833333333333,-129.833333333333,1078,No
BC,CELISTA,116146F             ,1924,1,2004,7,50.9555555555556,-119.379444444444,515,Yes
BC,CHATHAM POINT,1021480,1932,1,2016,2,50.3331944444444,-125.445555555556,23,Yes
BC,COMOX ,1021830,1936,1,2017,12,49.7166666666667,-124.9,26,Yes
BC,CORTES ISLAND TIBER BAY,1021960,1919,1,2017,12,50.0713888888889,-124.949444444444,15,Yes
BC,CRANBROOK ,1152102,1909,1,2012,11,49.6122222222222,-115.781944444444,939,Yes
BC,CRESTON,1142160,1912,1,2015,6,49.0970555555556,-116.517833333333,597,No
BC,DARFIELD,1162265,1914,1,2017,11,51.2973333333333,-120.182666666667,412,Yes
BC,DAWSON CREEK ,1182285,1952,1,2007,2,55.7416666666667,-120.181944444444,655,Yes
BC,DEASE LAKE,1192340,1945,1,2008,7,58.428335,-130.010556666667,807,No
BC,DEER PARK,1142400,1924,1,1995,9,49.4166666666667,-118.05,485,No
BC,DRYAD POINT,1062544,1933,1,2017,12,52.1850005555556,-128.112224444444,4,Yes
BC,DUNCAN KELVIN CREEK,1012573,1926,1,2016,3,48.7347222222222,-123.727500277778,103,Yes
BC,ESTEVAN POINT,1032730,1924,1,2017,12,49.3835,-126.550833333333,7,No
BC,FALLS RIVER,1062790,1932,1,1992,10,53.9833333333333,-129.733333333333,18,No
BC,FAUQUIER,1142820,1913,1,2015,6,49.8719444444444,-118.0675,490,No
BC,FERNIE,1152850,1914,1,2017,12,49.4888888888889,-115.072222222222,1001,No
BC,FORT NELSON ,1192940,1938,1,2012,11,58.8363888888889,-122.597222222222,382,No
BC,FORT ST JAMES,1092970,1895,1,2017,12,54.4552802777778,-124.285556111111,686,No
BC,FORT ST JOHN ,1183000,1931,1,2012,12,56.2380555555556,-120.740277777778,695,Yes
BC,GERMANSEN LANDING,1183090,1952,1,2013,11,55.7855277777778,-124.701444444444,766,No
BC,GLACIER NP ROGERS PASS,1173191,1909,1,2014,7,51.3009166666667,-117.516388888889,1323,Yes
BC,GOLDEN ,1173210,1908,1,2017,12,51.2983333333333,-116.981666666667,785,No
BC,GRAND FORKS,1133270,1910,1,2008,3,49.0261666666667,-118.465666666667,532,Yes
BC,GRASMERE,1153282,1896,1,1993,11,49.0833333333333,-115.066666666667,869,Yes
BC,HAZELTON TEMLEHAN,1073347,1915,1,1997,4,55.2,-127.733333333333,122,Yes
