Third Generation Homogenized Temperature for Canada  - Update to December 2019.,,,,,,,,,,,,,
Troisième génération de températures homogénéisées pour le Canada - Mise à jour décembre 2019.,,,,,,,,,,,,,
No,StnId,Station name,Prov,FromYear,FromMonth,ToYear,ToMonth,%Miss,Lat(deg),Long(deg),Elev(m),Joined,RCS
1,1100031,ABBOTSFORD_A,BC,1944,10,2019,12,0.5,49,-122.3,5,y,n
2,1100120,AGASSIZ_CDA,BC,1893,1,2018,9,1.6,49.2,-121.7,1,n,n
3,1100119,AGASSIZ_RCS,BC,1988,11,2019,12,4.6,49.2,-121.7,1,n,y
4,1036B06,ALBERNI,BC,1900,2,2019,12,1.1,49.3,-124.9,7,y,n
5,1160483,ARMSTRONG,BC,1913,3,1998,12,10.9,50.5,-119.2,50,y,n
6,1200560,ATLIN,BC,1905,8,2019,12,18.7,59.5,-133.7,67,n,n
7,1180585,BALDONNEL,BC,1927,1,1993,10,1.6,56.2,-120.6,68,n,n
8,1090660,BARKERVILLE,BC,1888,2,2015,3,5,53,-121.5,128,n,n
9,1130771,BEAVERDELL,BC,1939,1,2006,9,13.2,49.4,-119,83,y,n
10,1060844,BELLA_COOLA,BC,1895,5,2019,12,3.3,52.3,-126.5,3,y,y
11,1080870,BIG_CREEK,BC,1893,1,1998,11,15.8,51.6,-123,117,n,n
12,1160H99,BLUE_RIVER,BC,1946,9,2019,12,1.4,52.1,-119.2,68,y,n
13,1041050,BRITANNIA_BEACH_FURR,BC,1913,12,2000,4,24.1,49.5,-123.2,0,n,n
14,1091174,BURNS_LAKE,BC,1949,3,2019,12,10.4,54.3,-125.9,71,y,y
15,1031353,CAPE_SCOTT,BC,1921,7,2016,6,9.9,50.7,-128.4,7,y,n
16,1051351,CAPE_ST_JAMES,BC,1944,12,2019,12,9.6,51.9,-131,8,y,y
17,1171393,CARIBOO_LODGE,BC,1914,1,2016,10,9.7,52.7,-119.4,109,y,n
18,1141455,CASTLEGAR_A,BC,1959,7,2019,12,4.4,49.3,-117.6,49,y,n
19,1021480,CHATHAM_POINT,BC,1958,7,2019,1,8.6,50.3,-125.4,2,n,n
20,1101530,CHILLIWACK,BC,1881,2,2014,8,29.7,49.1,-121.9,1,n,n
21,1161663,CLINTON_AUT,BC,1993,1,2019,12,4.6,51.1,-121.5,105,y,y
22,1021830,COMOX,BC,1935,11,2019,12,1.2,49.7,-124.9,2,y,n
23,1021960,CORTES_ISLAND,BC,1947,3,2019,2,9.9,50,-124.9,1,y,n
24,1012010,COWICHAN_BAY_CHERRY_,BC,1913,10,1984,3,7.7,48.7,-123.5,0,n,n
25,1152106,CRANBROOK,BC,1901,1,2019,12,6.6,49.6,-115.7,92,y,y
26,114B1F0,CRESTON,BC,1912,6,2019,12,0.5,49,-116.5,64,y,y
27,1022250,CUMBERLAND,BC,1922,5,1977,6,4.7,49.6,-125,15,n,n
28,1162265,DARFIELD,BC,1913,12,2018,3,8.1,51.3,-120.1,46,y,n
29,1182289,DAWSON_CREEK,BC,1952,9,2019,12,7.4,55.7,-120.1,65,y,n
30,119BLM0,DEASE_LAKE,BC,1944,9,2019,12,2.3,58.4,-130,80,y,y
31,1062544,DRYAD_POINT,BC,1977,11,2019,12,0.7,52.1,-128.1,0,n,n
32,1012573,DUNCAN,BC,1926,1,2016,3,1.6,48.7,-123.7,10,y,n
33,1032731,ESTEVAN_POINT,BC,1923,10,2019,12,1.7,49.3,-126.5,0,y,y
34,1142820,FAUQUIER,BC,1913,2,2017,12,7,49.8,-118,49,n,n
35,1152850,FERNIE,BC,1913,12,2019,12,5.1,49.4,-115,100,n,n
36,1192948,FORT_NELSON,BC,1937,9,2019,12,0.7,58.8,-122.5,38,y,y
37,1092975,FORT_ST_JAMES,BC,1895,1,2019,12,1,54.4,-124.2,68,y,y
38,1183001,FORT_ST_JOHN,BC,1939,1,2019,12,0.4,56.2,-120.7,69,y,y
39,1183090,GERMANSEN,BC,1951,8,2013,11,1.8,55.7,-124.7,76,n,n
40,1173191,GLACIER,BC,1908,1,2014,7,4,51.3,-117.5,133,y,n
41,1173220,GOLDEN,BC,1902,4,2019,12,2.4,51.3,-116.9,78,y,y
42,1140876,GRAND_FORKS,BC,1911,3,2019,12,2.8,49,-118.2,51,y,n
43,1133300,GREENWOOD,BC,1911,6,1990,8,19.1,49.1,-118.6,76,n,n
44,1113543,HOPE,BC,1936,10,2019,12,2.1,49.3,-121.5,3,y,n
45,1093600,HORSEFLY_LAKE_GRUHS_,BC,1987,6,2016,6,3.5,52.3,-121.3,77,n,n
46,1073615,HOUSTON,BC,1988,9,2019,12,2.2,54.4,-126.6,61,n,n
